
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (14400 ELS. CTES.)  


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= ****
  NÚMERO DE ELEMENTOS DE CONTORNO= 6400
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= ****
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
     288     -0.7000000D+01     -0.4000000D+02      0.0000000D+00
     289     -0.8000000D+01     -0.4000000D+02      0.0000000D+00
     290     -0.9000000D+01     -0.4000000D+02      0.0000000D+00
     291     -0.1000000D+02     -0.4000000D+02      0.0000000D+00
     292     -0.1100000D+02     -0.4000000D+02      0.0000000D+00
     293     -0.1200000D+02     -0.4000000D+02      0.0000000D+00
     294     -0.1300000D+02     -0.4000000D+02      0.0000000D+00
     295     -0.1400000D+02     -0.4000000D+02      0.0000000D+00
     296     -0.1500000D+02     -0.4000000D+02      0.0000000D+00
     297     -0.1600000D+02     -0.4000000D+02      0.0000000D+00
     298     -0.1700000D+02     -0.4000000D+02      0.0000000D+00
     299     -0.1800000D+02     -0.4000000D+02      0.0000000D+00
     300     -0.1900000D+02     -0.4000000D+02      0.0000000D+00
     301     -0.2000000D+02     -0.4000000D+02      0.0000000D+00
     302     -0.2100000D+02     -0.4000000D+02      0.0000000D+00
     303     -0.2200000D+02     -0.4000000D+02      0.0000000D+00
     304     -0.2300000D+02     -0.4000000D+02      0.0000000D+00
     305     -0.2400000D+02     -0.4000000D+02      0.0000000D+00
     306     -0.2500000D+02     -0.4000000D+02      0.0000000D+00
     307     -0.2600000D+02     -0.4000000D+02      0.0000000D+00
     308     -0.2700000D+02     -0.4000000D+02      0.0000000D+00
     309     -0.2800000D+02     -0.4000000D+02      0.0000000D+00
     310     -0.2900000D+02     -0.4000000D+02      0.0000000D+00
     311     -0.3000000D+02     -0.4000000D+02      0.0000000D+00
     312     -0.3100000D+02     -0.4000000D+02      0.0000000D+00
     313     -0.3200000D+02     -0.4000000D+02      0.0000000D+00
     314     -0.3300000D+02     -0.4000000D+02      0.0000000D+00
     315     -0.3400000D+02     -0.4000000D+02      0.0000000D+00
     316     -0.3500000D+02     -0.4000000D+02      0.0000000D+00
     317     -0.3600000D+02     -0.4000000D+02      0.0000000D+00
     318     -0.3700000D+02     -0.4000000D+02      0.0000000D+00
     319     -0.3800000D+02     -0.4000000D+02      0.0000000D+00
     320     -0.3900000D+02     -0.4000000D+02      0.0000000D+00
     321     -0.3900000D+02     -0.3900000D+02      0.0000000D+00
     322     -0.3800000D+02     -0.3900000D+02      0.0000000D+00
     323     -0.3700000D+02     -0.3900000D+02      0.0000000D+00
     324     -0.3600000D+02     -0.3900000D+02      0.0000000D+00
     325     -0.3500000D+02     -0.3900000D+02      0.0000000D+00
     326     -0.3400000D+02     -0.3900000D+02      0.0000000D+00
     327     -0.3300000D+02     -0.3900000D+02      0.0000000D+00
     328     -0.3200000D+02     -0.3900000D+02      0.0000000D+00
     329     -0.3100000D+02     -0.3900000D+02      0.0000000D+00
     330     -0.3000000D+02     -0.3900000D+02      0.0000000D+00
     331     -0.2900000D+02     -0.3900000D+02      0.0000000D+00
